PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evennessCV,movedToNewInstances,movedBetweenOldInstances,STBetweenOldInstances,maxResourceCount,maxPartitionCount,maxCapacityKeyUsage,maxTopStateUsage
4.0,64.0,60.0,80.0,6.0,0.57812554,45.0,5.0,0.0,0.44924074,0.40657547,0.5781255,0.2958271
36.0,18.0,6.0,68.0,38.0,1.0335407,6.0,0.0,0.0,0.94331264,0.94567776,1.0335407,0.92066956
32.0,39.0,35.0,32.0,25.0,0.9515296,14.0,0.0,0.0,0.8296331,0.83056,0.9515296,0.7922109
65.0,84.0,78.0,71.0,33.0,0.79090047,30.0,0.0,0.0,0.61220497,0.62964344,0.79090047,0.5362322
49.0,68.0,47.0,38.0,51.0,0.9805406,14.0,0.0,0.0,0.8296331,0.83056,0.9805406,0.7922109
30.0,53.0,51.0,32.0,16.0,0.81591016,31.0,0.0,0.0,0.5986027,0.6080954,0.81591016,0.51724446
67.0,66.0,53.0,2.0,15.0,1.1115004,0.0,0.0,0.0,1.0117869,1.0268064,1.1115004,1.0805936
46.0,32.0,45.0,87.0,39.0,0.89935845,15.0,0.0,0.0,0.8166335,0.81434584,0.89935845,0.76654536
80.0,74.0,45.0,74.0,70.0,0.9935812,10.0,0.0,0.0,0.88516134,0.88748133,0.9935812,0.8761392
25.0,91.0,62.0,6.0,41.0,0.7059192,35.0,6.0,0.0,0.54382354,0.5464959,0.7059192,0.51724446
80.0,97.0,100.0,92.0,60.0,0.9567883,13.0,0.0,0.0,0.84271014,0.84646374,0.9567883,0.81707054
61.0,21.0,40.0,51.0,47.0,1.1216443,0.0,0.0,0.0,1.0117869,1.0268064,1.1216443,1.0805936
48.0,16.0,49.0,34.0,45.0,1.0845476,0.0,0.0,0.0,1.0117869,1.0268064,1.0845476,1.0805936
89.0,49.0,66.0,17.0,87.0,1.117578,0.0,0.0,0.0,1.0117869,1.0268064,1.117578,1.0805936
67.0,15.0,72.0,86.0,9.0,1.1272764,0.0,0.0,0.0,1.0117869,1.0268064,1.1272764,1.0805936
87.0,21.0,84.0,64.0,7.0,1.1130335,0.0,0.0,0.0,1.0117869,1.0268064,1.1130335,1.0805936
